Year,Loan Yrs,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
10,5,83.71,0.784,0.834,50.0,10.0,60.0,23.71,280.0,-256.29,0.0,-256.29,0.0,-256.29,6000
11,5,81.35,0.777,0.817,50.0,10.0,60.0,21.35,280.0,-258.65,0.0,-258.65,0.0,-258.65,6000
12,5,79.72,0.777,0.801,50.0,10.0,60.0,19.72,280.0,-260.28,0.0,-260.28,0.0,-260.28,6000
1,7,128.13,1.0,1.0,50.0,10.0,60.0,68.13,280.0,-211.87,196.0,-407.87,0.0,-407.87,6000
2,7,115.79,0.922,0.98,50.0,10.0,60.0,55.79,280.0,-224.21,168.0,-392.21,0.0,-392.21,6000
3,7,107.82,0.876,0.96,50.0,10.0,60.0,47.82,280.0,-232.18,140.0,-372.18,0.0,-372.18,6000
4,7,101.79,0.844,0.941,50.0,10.0,60.0,41.79,280.0,-238.21,112.0,-350.21,0.0,-350.21,6000
5,7,97.49,0.825,0.922,50.0,10.0,60.0,37.49,280.0,-242.51,84.0,-326.51,0.0,-326.51,6000
6,7,94.41,0.815,0.904,50.0,10.0,60.0,34.41,280.0,-245.59,56.0,-301.59,0.0,-301.59,6000
7,7,91.51,0.806,0.886,50.0,10.0,60.0,31.51,280.0,-248.49,28.0,-276.49,0.0,-276.49,6000
8,7,88.78,0.798,0.868,50.0,10.0,60.0,28.78,280.0,-251.22,0.0,-251.22,0.0,-251.22,6000
9,7,86.18,0.791,0.851,50.0,10.0,60.0,26.18,280.0,-253.82,0.0,-253.82,0.0,-253.82,6000
10,7,83.71,0.784,0.834,50.0,10.0,60.0,23.71,280.0,-256.29,0.0,-256.29,0.0,-256.29,6000
11,7,81.35,0.777,0.817,50.0,10.0,60.0,21.35,280.0,-258.65,0.0,-258.65,0.0,-258.65,6000
12,7,79.72,0.777,0.801,50.0,10.0,60.0,19.72,280.0,-260.28,0.0,-260.28,0.0,-260.28,6000
1,10,128.13,1.0,1.0,50.0,10.0,60.0,68.13,280.0,-211.87,196.0,-407.87,0.0,-407.87,6000
2,10,115.79,0.922,0.98,50.0,10.0,60.0,55.79,280.0,-224.21,176.4,-400.61,0.0,-400.61,6000
3,10,107.82,0.876,0.96,50.0,10.0,60.0,47.82,280.0,-232.18,156.8,-388.98,0.0,-388.98,6000
4,10,101.79,0.844,0.941,50.0,10.0,60.0,41.79,280.0,-238.21,137.2,-375.41,0.0,-375.41,6000
5,10,97.49,0.825,0.922,50.0,10.0,60.0,37.49,280.0,-242.51,117.6,-360.11,0.0,-360.11,6000
6,10,94.41,0.815,0.904,50.0,10.0,60.0,34.41,280.0,-245.59,98.0,-343.59,0.0,-343.59,6000
7,10,91.51,0.806,0.886,50.0,10.0,60.0,31.51,280.0,-248.49,78.4,-326.89,0.0,-326.89,6000
8,10,88.78,0.798,0.868,50.0,10.0,60.0,28.78,280.0,-251.22,58.8,-310.02,0.0,-310.02,6000
9,10,86.18,0.791,0.851,50.0,10.0,60.0,26.18,280.0,-253.82,39.2,-293.02,0.0,-293.02,6000
10,10,83.71,0.784,0.834,50.0,10.0,60.0,23.71,280.0,-256.29,19.6,-275.89,0.0,-275.89,6000
11,10,81.35,0.777,0.817,50.0,10.0,60.0,21.35,280.0,-258.65,0.0,-258.65,0.0,-258.65,6000
12,10,79.72,0.777,0.801,50.0,10.0,60.0,19.72,280.0,-260.28,0.0,-260.28,0.0,-260.28,6000
